tile_id,left,top,right,bottom
241,9907998.691100001335144,5305235.314699999988079,9908254.691100001335144,5304979.314699999988079
242,9907998.691100001335144,5305004.914699999615550,9908254.691100001335144,5304748.914699999615550
243,9907998.691100001335144,5304774.514699999243021,9908254.691100001335144,5304518.514699999243021
244,9907998.691100001335144,5304544.114699999801815,9908254.691100001335144,5304288.114699999801815
245,9907998.691100001335144,5304313.714700000360608,9908254.691100001335144,5304057.714700000360608
246,9907998.691100001335144,5304083.314699999988079,9908254.691100001335144,5303827.314699999988079
247,9907998.691100001335144,5303852.914699999615550,9908254.691100001335144,5303596.914699999615550
248,9907998.691100001335144,5303622.514699999243021,9908254.691100001335144,5303366.514699999243021
249,9907998.691100001335144,5303392.114699999801815,9908254.691100001335144,5303136.114699999801815
250,9907998.691100001335144,5303161.714700000360608,9908254.691100001335144,5302905.714700000360608
251,9907998.691100001335144,5302931.314699999988079,9908254.691100001335144,5302675.314699999988079
252,9907998.691100001335144,5302700.914699999615550,9908254.691100001335144,5302444.914699999615550
253,9907998.691100001335144,5302470.514699999243021,9908254.691100001335144,5302214.514699999243021
254,9907998.691100001335144,5302240.114699999801815,9908254.691100001335144,5301984.114699999801815
255,9907998.691100001335144,5302009.714700000360608,9908254.691100001335144,5301753.714700000360608
256,9907998.691100001335144,5301779.314699999988079,9908254.691100001335144,5301523.314699999988079
257,9907998.691100001335144,5301548.914699999615550,9908254.691100001335144,5301292.914699999615550
258,9907998.691100001335144,5301318.514699999243021,9908254.691100001335144,5301062.514699999243021
259,9907998.691100001335144,5301088.114699999801815,9908254.691100001335144,5300832.114699999801815
260,9907998.691100001335144,5300857.714700000360608,9908254.691100001335144,5300601.714700000360608
261,9907998.691100001335144,5300627.314699999988079,9908254.691100001335144,5300371.314699999988079
262,9907998.691100001335144,5300396.914699999615550,9908254.691100001335144,5300140.914699999615550
263,9907998.691100001335144,5300166.514699999243021,9908254.691100001335144,5299910.514699999243021
264,9907998.691100001335144,5299936.114699999801815,9908254.691100001335144,5299680.114699999801815
265,9907998.691100001335144,5299705.714700000360608,9908254.691100001335144,5299449.714700000360608
266,9907998.691100001335144,5299475.314699999988079,9908254.691100001335144,5299219.314699999988079
267,9907998.691100001335144,5299244.914699999615550,9908254.691100001335144,5298988.914699999615550
268,9907998.691100001335144,5299014.514699999243021,9908254.691100001335144,5298758.514699999243021
269,9907998.691100001335144,5298784.114699999801815,9908254.691100001335144,5298528.114699999801815
270,9907998.691100001335144,5298553.714700000360608,9908254.691100001335144,5298297.714700000360608
271,9907998.691100001335144,5298323.314699999988079,9908254.691100001335144,5298067.314699999988079
272,9907998.691100001335144,5298092.914699999615550,9908254.691100001335144,5297836.914699999615550
273,9907998.691100001335144,5297862.514699999243021,9908254.691100001335144,5297606.514699999243021
274,9907998.691100001335144,5297632.114699999801815,9908254.691100001335144,5297376.114699999801815
275,9907998.691100001335144,5297401.714700000360608,9908254.691100001335144,5297145.714700000360608
276,9907998.691100001335144,5297171.314699999988079,9908254.691100001335144,5296915.314699999988079
277,9907998.691100001335144,5296940.914699999615550,9908254.691100001335144,5296684.914699999615550
278,9907998.691100001335144,5296710.514699999243021,9908254.691100001335144,5296454.514699999243021
279,9907998.691100001335144,5296480.114699999801815,9908254.691100001335144,5296224.114699999801815
280,9907998.691100001335144,5296249.714700000360608,9908254.691100001335144,5295993.714700000360608
281,9907998.691100001335144,5296019.314699999988079,9908254.691100001335144,5295763.314699999988079
282,9907998.691100001335144,5295788.914699999615550,9908254.691100001335144,5295532.914699999615550
283,9907998.691100001335144,5295558.514699999243021,9908254.691100001335144,5295302.514699999243021
284,9907998.691100001335144,5295328.114699999801815,9908254.691100001335144,5295072.114699999801815
285,9907998.691100001335144,5295097.714700000360608,9908254.691100001335144,5294841.714700000360608
286,9907998.691100001335144,5294867.314699999988079,9908254.691100001335144,5294611.314699999988079
287,9907998.691100001335144,5294636.914699999615550,9908254.691100001335144,5294380.914699999615550
288,9907998.691100001335144,5294406.514699999243021,9908254.691100001335144,5294150.514699999243021
289,9907998.691100001335144,5294176.114699999801815,9908254.691100001335144,5293920.114699999801815
290,9907998.691100001335144,5293945.714700000360608,9908254.691100001335144,5293689.714700000360608
291,9907998.691100001335144,5293715.314699999988079,9908254.691100001335144,5293459.314699999988079
292,9907998.691100001335144,5293484.914699999615550,9908254.691100001335144,5293228.914699999615550
293,9907998.691100001335144,5293254.514699999243021,9908254.691100001335144,5292998.514699999243021
294,9907998.691100001335144,5293024.114699999801815,9908254.691100001335144,5292768.114699999801815
295,9907998.691100001335144,5292793.714700000360608,9908254.691100001335144,5292537.714700000360608
296,9907998.691100001335144,5292563.314699999988079,9908254.691100001335144,5292307.314699999988079
297,9907998.691100001335144,5292332.914699999615550,9908254.691100001335144,5292076.914699999615550
298,9907998.691100001335144,5292102.514699999243021,9908254.691100001335144,5291846.514699999243021
299,9907998.691100001335144,5291872.114699999801815,9908254.691100001335144,5291616.114699999801815
300,9907998.691100001335144,5291641.714700000360608,9908254.691100001335144,5291385.714700000360608
301,9907998.691100001335144,5291411.314699999988079,9908254.691100001335144,5291155.314699999988079
302,9907998.691100001335144,5291180.914699999615550,9908254.691100001335144,5290924.914699999615550
303,9907998.691100001335144,5290950.514699999243021,9908254.691100001335144,5290694.514699999243021
304,9907998.691100001335144,5290720.114699999801815,9908254.691100001335144,5290464.114699999801815
305,9907998.691100001335144,5290489.714700000360608,9908254.691100001335144,5290233.714700000360608
306,9907998.691100001335144,5290259.314699999988079,9908254.691100001335144,5290003.314699999988079
307,9907998.691100001335144,5290028.914699999615550,9908254.691100001335144,5289772.914699999615550
308,9907998.691100001335144,5289798.514699999243021,9908254.691100001335144,5289542.514699999243021
309,9907998.691100001335144,5289568.114699999801815,9908254.691100001335144,5289312.114699999801815
310,9907998.691100001335144,5289337.714700000360608,9908254.691100001335144,5289081.714700000360608
311,9907998.691100001335144,5289107.314699999988079,9908254.691100001335144,5288851.314699999988079
312,9907998.691100001335144,5288876.914699999615550,9908254.691100001335144,5288620.914699999615550
313,9907998.691100001335144,5288646.514699999243021,9908254.691100001335144,5288390.514699999243021
314,9907998.691100001335144,5288416.114699999801815,9908254.691100001335144,5288160.114699999801815
315,9907998.691100001335144,5288185.714700000360608,9908254.691100001335144,5287929.714700000360608
316,9907998.691100001335144,5287955.314699999988079,9908254.691100001335144,5287699.314699999988079
317,9907998.691100001335144,5287724.914699999615550,9908254.691100001335144,5287468.914699999615550
318,9907998.691100001335144,5287494.514699999243021,9908254.691100001335144,5287238.514699999243021
319,9907998.691100001335144,5287264.114699999801815,9908254.691100001335144,5287008.114699999801815
320,9907998.691100001335144,5287033.714700000360608,9908254.691100001335144,5286777.714700000360608
321,9907998.691100001335144,5286803.314699999988079,9908254.691100001335144,5286547.314699999988079
322,9907998.691100001335144,5286572.914699999615550,9908254.691100001335144,5286316.914699999615550
323,9907998.691100001335144,5286342.514699999243021,9908254.691100001335144,5286086.514699999243021
324,9907998.691100001335144,5286112.114699999801815,9908254.691100001335144,5285856.114699999801815
325,9908229.091099999845028,5310764.914699999615550,9908485.091099999845028,5310508.914699999615550
